batting_first,matches_won
"Sunrisers Hyderabad",8
"Rising Pune Supergiant",10
"Kolkata Knight Riders",17
"Kings XI Punjab",18
"Royal Challengers Bangalore",8
"Mumbai Indians",20
"Delhi Daredevils",16
"Gujarat Lions",4
"Chennai Super Kings",9
"Rajasthan Royals",13
"Deccan Chargers",5
