match_no,bowling_team,extras
102,"Deccan Chargers",20
102,"Mumbai Indians",8
103,"Chennai Super Kings",13
103,"Kolkata Knight Riders",4
104,"Delhi Daredevils",9
104,"Royal Challengers Bangalore",12
105,"Rajasthan Royals",5
105,"Kolkata Knight Riders",7
106,"Mumbai Indians",12
106,"Kings XI Punjab",23
107,"Chennai Super Kings",4
107,"Royal Challengers Bangalore",12
108,"Kings XI Punjab",5
108,"Deccan Chargers",8
109,"Delhi Daredevils",9
109,"Mumbai Indians",3
110,"Chennai Super Kings",7
110,"Rajasthan Royals",9
111,"Deccan Chargers",5
111,"Royal Challengers Bangalore",6
112,"Kolkata Knight Riders",11
112,"Kings XI Punjab",9
113,"Rajasthan Royals",13
113,"Mumbai Indians",16
114,"Chennai Super Kings",16
114,"Deccan Chargers",11
115,"Delhi Daredevils",4
115,"Rajasthan Royals",7
116,"Chennai Super Kings",4
116,"Kings XI Punjab",4
117,"Rajasthan Royals",7
117,"Chennai Super Kings",14
118,"Chennai Super Kings",3
118,"Mumbai Indians",9
119,"Rajasthan Royals",4
119,"Royal Challengers Bangalore",9
120,"Delhi Daredevils",8
120,"Kings XI Punjab",5
121,"Deccan Chargers",5
121,"Kolkata Knight Riders",2
122,"Royal Challengers Bangalore",13
122,"Chennai Super Kings",5
123,"Kolkata Knight Riders",12
123,"Kings XI Punjab",4
124,"Royal Challengers Bangalore",9
124,"Deccan Chargers",7
125,"Chennai Super Kings",1
125,"Delhi Daredevils",15
126,"Kolkata Knight Riders",10
126,"Rajasthan Royals",19
127,"Kings XI Punjab",8
127,"Royal Challengers Bangalore",13
128,"Mumbai Indians",14
128,"Deccan Chargers",13
